"","df9f127f34e52758c22bb8768ea9dd1d","X726f137d48a9a16971165106f5accbc3","X192b9d0e30798cb5d4a686f2b25b046b","X8bb6ba264b60216d22b221d5c6c0992e","X4603641854a42087dd05682bc365b2b2","X31e4d9092a2fe5d08a565a11d5c0a510","X065259ec202538d9a00670abd44fc85d","d2db2c90c9f6401ed400e43cd16e7846","X71c8a0b854b50dd6b2845d87007e5ad4","X90c8784ec39588e5031c9e4950c88efa","X519335ba0a9cc277b802a53b482bce49","f3eefe548d5b25a70eff6ded2ac754cb","f99a6053aeb89ad886d5acae4e1e77b5","c50df3a28f2c5b2ed3fcec3c8c0dbce3","fbdfdbc22fcb0362b5fe57dcee55fed6","X23769d724c8f54a20fc5503775e0d215","X43c74972f95d6719e0a57265faf133ff","X27411089f2f049c2a454db6aac7c5d0b","a4d62e1254481f8aa0a1fd7b2f28dddf","fcca31a8dba0488eb8879120277f149b","X6621ec621365d2e452925f53b69d7fa8","ad568b74428dbece1b14338b18a261b9","X733666313c4bfa4aee6abca3478eed6e","X72c7f54f73e0c27bef2f8ea144f989eb","X0b85d04d31bae6800df285cbbea2976c","X98cedaeb6530038a7c03909a8fffac4d","X5dbb8b0090393f98803bec4188360a21"
"L.2016.NAM-17.05.R",836.757011340663,0,1805.62714219597,151.960528252786,0,0,0,0,0,145.181274700666,416.196639307132,0,303.921056505573,0,0,380.388373607135,452.265091538338,0,0,0,0,0,0,0,0,336.826748404679,0
"L.2016.NAM-17.06.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.428217246024,0,0
"L.2016.NAM-17.07.R",0,0,0,0,0,119.941918126147,0,0,0,0,0,0,0,0,0,179.912877189221,179.912877189221,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-17.08.R",0,70.9572757373126,0,4044.56471702682,0,0,0,0,0,0,0,0,0,0,0,0,191.361423318263,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-17.09.R",0,0,559.415131480038,1895.46509974885,0,0,0,0,0,0,0,0,0,0,0,0,363.619835462024,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-17.10.R",69.0595811536403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.0595811536403,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-23.01.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-23.02.R",0,0,0,0,0,0,0,0,0,0,0,0,0,922.2242203747,0,0,0,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-23.03.R",421.712945269567,0,632.56941790435,0,0,0,0,0,0,0,0,0,0,0,0,0,1535.98033945166,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-23.04.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541.973290878759,0,0,0,0,0,0,0,0,0,0
